Template Content,Template Category
"Hi {{1}}, thanks for reaching out earlier. How can I help you today?",Utility
"Hi {{1}}, it seems our call got disconnected earlier while we were assisting you.
Please let us know if you’d like to continue the conversation here or prefer a callback.",Utility
"Namaskaram! 🙏
Your shopping cart still has something inside it! 🛒
Let’s get it before it's gone. ✨ Discover the ultimate comfort and luxury through our innovative products. Enjoy exciting benefits like:
✅ 100 Nights Free Trial
✅ 10 Years Warranty
✅ Free Shipping & Returns
✅ No Cost EMI
Complete your purchase online: {{1}}
Or Visit our nearest experience store in Hyderabad: {{2}}",Marketing
"Hello, {{1}} Thank you for choosing The Sleep Company! 😊
We are happy to inform you that your order is now eligible for FREE INSTALLATION. ⚒️
In the next 24 hours, our team will contact you to schedule the installation appointment as per your convenience. For any queries write us to at care@thesleepcompany.in
Thank you",Utility
"Hi {{1}}! The installation appointment for your order {{2}} has been confirmed with our Comfort Technician {{3}} (Phn: {{4}}). Please make sure to be available at the time for the installation.
For queries feel free to reach out to us at care@thesleepcompany.in",Utility
"Hi {{1}}!
Thank you for purchasing from The Sleep Company !💙
Our installation team will contact you within {{2}} hours to schedule an appointment as per your convenience.🕒
Please ensure you are available at the location during the scheduled time.
Get ready to experience the comfort revolution!
For queries please write to us at care@thesleepcompany.in",Utility
"Hi {{1}}! Your installation for Order ID: {{2}} has been successfully completed by our Sleep Squad member {{3}}. Thank you for making us a part of your life!💙
If you need any further assistance please feel free to reach out to us at care@thesleepcompany.in",Utility
"Installation Update!
Hi there! Your order qualifies for a TSC installation. An installer will visit your address {{1}} - {{2}} hours after your items are delivered. We will share installer details once delivery is confirmed.
Order ID: {{3}}
Items: {{4}}
Estimated Delivery: {{5}}",Utility
"Your order is out for delivery today. Once the delivery is completed, installation will be scheduled within {{1}} hours. You'll receive an update with the installer’s details as soon as they are assigned.
Order ID: {{2}}
Items: {{3}}
Click the button below to track your order",Utility
"Hi {{1}}! Our Comfort Technician {{2}} (Contact No: {{3}}) has been assigned to install your order {{4}} in 24 hours. He will contact you to confirm the appointment. Please make sure to be available at the location during the installation.
For further assistance please reach out to us at care@thesleepcompany.in",Utility
"Hi {{1}}!
Our Comfort Technician 🛠️, {{2}} (Phone: {{3}}), tried to contact you to confirm the installation appointment for your order {{4}} but couldn’t reach you.
Please call the technician to confirm or re-schedule your installation.",Utility
"Hi {{1}}!
Our Sleep Squad member {{2}} (Phn: {{3}}) tried to contact you to confirm the appointment for your installation of order {{4}}, but couldn't reach you. Please get in touch to confirm the installation.
For further assistance please reach out to us at care@thesleepcompany.in",Utility
"Hi Team,
Inventory Alert - {{1}}
Low stock SKUs (top 5 per warehouse):
Bangalore
{{2}}
Bhiwandi
{{3}}
Gurgaon
{{4}}
Hyderabad
{{5}}
Kolkata
{{6}}
Pune
{{7}}
This is an automated report.",Utility
"Hi Team,
Inventory Alert - {{1}}
Low stock SKUs reported today.
See details in dashboard  system.
Affected warehouses: {{2}}
This is an automated report.",Utility
"Dear Customer,
Invoice details for your order are provided below.
Order ID: {{1}}
AWB Number: {{2}}
Delivery Date: {{3}}
Invoice Link: {{4}}
Use the link above to download the invoice.",Utility
"Hi! Thank you for contacting The Sleep Company.
Here are the details of the store near you:
🏬 Store Name : The Sleep Company Experience Store – Kothrud Pune
📍 Address : 4B, Ground Floor, Lunawat Realty, Opp. Vanaz Factory, Kothrud, Paud Road, Pune, Maharashtra - 411038
📞 Phone : +91 84509 63219
🗺 Google Maps : https:maps.app.goo.glhZ9setoMEKXr39Y38
🕒 Timings : 11:00 AM – 9:00 PM",Marketing
Thank you for reaching out! Use Order ID: {{1}} to track your order here: https:thesleepcompany.inpagestrack-order,Utility
Thank you for reaching out! Click to track your order easily with your Order ID: https:thesleepcompany.inpagestrack-order,Utility
"Hello,
Thanks for shopping with The Sleep Company — it’s our 6th Birthday Week, and your purchase just unlocked something exciting!
Here are your token codes:
{{1}}
{{2}}
{{3}}
Keep them safe — you could win an iPhone or up to 6 kg of silver!
🎉 Follow @thesleepcompanyofficial on Instagram for daily winner reveals!",Marketing
"Hi Customer,
Thank you for contacting us.
For future support or order-related questions, please visit the My Orders page to view or manage your request:",Utility
"Dear Customer,
You can track your order and manage order-related actions from the My Orders page.",Marketing
"Hello {{1}},
We request you to share your feedback for your recent purchase from The Sleep Company.
Your response will help us record your experience for internal quality tracking.
You can submit your feedback here:
🔗 https:www.amazon.inreviewreview-your-purchases
Or open the Amazon app → go to Your Orders → select your product → and add your review.
After submitting, please share a screenshot for internal confirmation.
Thank you for your time.",Marketing
"Kasa kay Mumbai! 😎
Do not ditch your cart because for a city that never sleeps, elevating their sleeping experience is our top priority.
🤗 Tune into ultimate comfort and luxury through our innovative products. Enjoy exciting benefits like:
✅ 100 Nights Free Trial
✅ 10 Years Warranty
✅ Free Shipping & Returns
✅ No Cost EMI
Complete your purchase online: {{1}}
Or Visit our nearest experience store in Mumbai: {{2}}",Marketing
"Dear Customer,
Due to heavy rainfall in Kolkata, dispatches are impacted.
Please expect 2-3 days delay in your order.
Order ID: {{1}}
We truly appreciate your patience. Our team is working hard to get your product delivered as soon as possible.
Stay safe,",Utility
"Dear Customer, Thank you for reaching out. For any future queries, you can easily access our self-service options on the My Orders page.
Link: https:thesleepcompany.inpagesorderlisting",Marketing
"Hi {{1}},
We tried delivering your order {{2}}, but couldn’t reach you.
To make sure your cozy comfort reaches you soon, just tap below and help us with a few quick details:
👉 {{3}}",Utility
"Hi {{1}},
We tried delivering your order {{2}}, but couldn’t reach you.
To make sure your cozy comfort reaches you soon, just tap below and help us with a few quick details:{{3}}",Utility
"Hi {{1}},
Urgent- We have been trying to reach you to deliver the order. The delivery attempt has been failed.
Update your details here so we can get your order {{2}} to your doorstep ⏳
👉 {{3}}",Utility
"Hey {{1}},
Another attempt to deliver your order {{2}} didn’t go through 😕
Let’s fix that! Fill out this quick form so we can try again:
👉 {{3}}",Utility
"Hi {{1}},
We could not deliver your order order {{2}}.We request you to update your details here:
👉{{3}}",Utility
"Hey {{1}},
This is your final chance to receive your order {{2}}!
If we don’t hear back, it might head back to us 😞
Click now and help us deliver your comfort:
👉 {{3}}",Marketing
"Hi {{1}}, {{2}} think of our {{3}}
Here’s what our {{4}} are saying
{{5}} Link : https:g.cokgsYBu4V6s
You're {{6}} by and see for yourself anytime!",Marketing
"Hey {{1}} Thank you for shopping with The Sleep Company. Your order id is {{2}} - {{3}}, and {{4}} Here are your Codes: {{5}} Keep them safe - {{6}}",Utility
"Hello,
Thanks for shopping with The Sleep Company. Your order id is {{1}} - {{2}}, and {{3}}
Here are your Codes:
{{4}}
Keep them safe - {{5}}",Utility
"Hi {{1}},
Your order {{2}} was not delivered within the promised timeline.
As per our Guaranteed Next Day Delivery policy, we have initiated {{3}} for this delay.
Click the button below to view details or take required action.",Utility
"Hi {{1}},
Parcel [1] of {{2}} has been delivered.
Items: {{3}}
Order tracking details are available at the link provided below.",Utility
"Hi {{1}},
The delivery date for Parcel [1] of {{2}} has been updated due to a delay.
Items: {{3}}
Processing will continue. No action is required.
Order tracking details are available at the link provided below.",Utility
"Hi {{1}},
Dispatch for Parcel [1] of {{2}} is delayed.
Items: {{3}}
Dispatch will proceed once processing resumes. No action is required.
Order tracking details are available at the link provided below.",Utility
"Hi {{1}},
The delivery date for your order has been confirmed.
Total parcels: {{2}}
Item details: {{3}}
Order tracking details are available at the link provided below.",Utility
"Hi {{1}},
Your order has been confirmed and is currently on hold.
Items: {{2}}
The delivery date will be scheduled and shared once available.
Order tracking details are available at the link provided below.",Utility
"Hi {{1}}, we’ve received your order and started processing it. You will receive 2 parcels. Each will be delivered separately. Parcel 1: {{2}}
Estimated delivery: {{3}}
Parcel 2: {{4}}
Estimated delivery: {{5}}
We’ll update you whenever a parcel moves.
Live status anytime on your order page",Utility
"Hi {{1}}, we’ve received your order and started processing it.
You will receive 3 parcels. Each will be delivered separately.
Parcel 1: {{2}}
Estimated delivery: {{3}}
Parcel 2: {{4}}
Estimated delivery: {{5}}
Parcel 3: {{6}}
Estimated delivery: {{7}}
We’ll update you whenever a parcel moves. Live status anytime on your order page",Utility
"Hi {{1}}, we’ve received your order and started processing it.
You will receive 4 parcels. Each will be delivered separately.
Parcel 1: {{2}}
Estimated delivery: {{3}}
Parcel 2: {{4}}
Estimated delivery: {{5}}
Parcel 3: {{6}}
Estimated delivery: {{7}}
Parcel 4: {{8}}
Estimated delivery: {{9}}
We’ll update you whenever a parcel moves.
Live status anytime on your order page",Utility
"Hi {{1}}, we’ve received your order and started processing it.
You will receive 5 parcels. Each will be delivered separately.
Parcel 1: {{2}}
Estimated delivery: {{3}}
Parcel 2: {{4}}
Estimated delivery: {{5}}
Parcel 3: {{6}}
Estimated delivery: {{7}}
Parcel 4: {{8}}
Estimated delivery: {{9}}
Parcel 5: {{10}}
Estimated delivery: {{11}}
We’ll update you whenever a parcel moves.
Live status anytime on your order page",Utility
"Hi {{1}}, we’ve received your order and started processing it.
You will receive {{2}} parcels. Each will be delivered separately.
Total Items - {{3}}
Estimated delivery date - {{4}} to {{5}}
We’ll update you whenever a parcel moves. Live status anytime on your order page",Utility
"Hi {{1}}, we’ve received your order and started processing it.
You will receive 1 parcel. Parcel 1: {{2}}
Estimated delivery: {{3}}
We’ll update you whenever the parcel moves. Live status anytime on your order page",Utility
"Hi {{1}},
Your order has resumed processing.
Total parcels: {{2}}
Item details: {{3}}
Order tracking information is available at the link provided below.",Utility
"Hi {{1}},
Parcel [1] of {{2}} is out for delivery today.
Items: {{3}}
Please ensure your phone is reachable for delivery coordination.
Order tracking information is available at the link provided below.",Utility
"Hi {{1}},
Parcel [1] of {{2}} is in transit.
Items: {{3}}
Courier partner: {{4}}
Estimated delivery date: {{5}}
Order tracking details are available at the link provided below.",Utility
"Hi {{1}},
Parcel [1] of {{2}} is currently on hold.
Items: {{3}}
You will be notified when processing resumes.
Order tracking information is available at the link provided below.",Utility
"Hi {{1}},
Parcel [1] of {{2}} is currently being processed.
Items: {{3}}
Estimated delivery date: {{4}}
Order tracking details are available at the link provided below.",Utility
"Hi {{1}},
Your order has been received and is currently being processed.
Total parcels: {{2}}
Item details: {{3}}
Order tracking information is available at the link provided below.",Utility
"{{1}}, your insights are truly valuable! 😇
They guide us to enhance our product for your utmost comfort.
Could you please take a moment to fill out this quick 1️⃣0️⃣ second survey?
Here’s the link👉🏻: {{2}}",Marketing
"{{1}}, we’re thrilled you chose The Sleep Company for your comfort needs.🤗
Your insights guide us in making meaningful changes to improve the experience for all our customers. We'd love to hear from you!😇
Because your opinion truly matters!
Kindly take this quick 1️⃣0️⃣ second survey.
Here’s the link👉🏻: {{2}}",Marketing
"We Value Your Opinion 😊
And believe that it can truly make a difference! 😇
It helps us enhance our comfort solutions to ensure maximum consumer satisfaction. Could you please take this quick 1️⃣0️⃣ second survey?
Share Your Opinion 👉🏻 : {{1}}",Utility
"{{1}}, your insights are truly valuable! 😇
They guide us to enhance our product for your utmost comfort.
Could you please take a moment to fill out this quick 1️⃣0️⃣ second survey?
Here’s the link👉🏻: {{2}}",Utility
"Ready to be a Changemaker? 🦸‍♂️
Your opinion is crucial in shaping the future of our Comfort Solutions.🤓
Together, we can enhance them for unparalleled consumer satisfaction.🤝🏻 Take this quick 1️⃣0️⃣ second survey now.
Share Your Thoughts 👉🏻: {{1}}",Utility
"{{1}}, we’re thrilled you chose The Sleep Company for your comfort needs.🤗
Your insights guide us in making meaningful changes to improve the experience for all our customers. We'd love to hear from you!😇
Because your opinion truly matters!
Kindly take this quick 1️⃣0️⃣ second survey.
Here’s the link👉🏻: {{2}}",Utility
"Dear {{1}},
Your order {{2}} will be delivered today.
Our Comfort Technician will contact you within 48 hours after delivery for the installation.",Utility
"We’re the happiest when we know we’ve made a difference in our customers’ lives. This testimonial made us smile in recent times. 😊 Couldn’t help but share it with you too!
“Damn! I did not believe that a mattress can resolve half of my issues. I am a firm believer in using anything myself before believing in it. So I ordered the Smart Ortho Hybrid mattress and pillow as The Sleep Company also gives a 100-night free trial. But damn! In just one month, I was surprised and impressed with this mattress. Can you believe my sleep cycle is getting better after I started sleeping on it? Very happy.” - Kalpana
We have Kalpana’s back. We can have yours too. Switch to Smart Ortho Hybrid Mattress today. {{1}} Shipping a free hybrid pillow along. 😴",Marketing
"Hi {{1}}, Your order {{2}} is currently On-Hold please contact our team at +91-9811981911 for more details. We will let you know the new Delivery Dates when your order is processed. Click here to Track your order: https:thesleepcompany.inaccount#view=orders
The countdown to better comfort begins!",Utility
"Order Placed!
Hi {{1}}, Your order {{2}} has been successfully placed! 🎉
It’s currently On Hold, the expected delivery date is {{3}} - {{4}}
We’ll keep you updated with your order status.
The countdown to better comfort begins! 🤗
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.",Utility
"Hi {{1}},
The countdown to better comfort begins 🤗
Your {{2}} has been confirmed 👉 Track your order {{3}}
Meanwhile, just relax & gear up for the best comfort journey ahead.
If you have any queries, write to us at care@thesleepcompany.in or call us at 9811981911
Enjoy Peaceful Sleep",Utility
"Hey {{1}},
We know, you’ve been waiting for this 👇🏻
COMFORT IS COMING HOME 💙
The Sleep Company Product with {{2}} is on the way 🤩
Can't keep calm? Track your order 👇🏻
{{3}}
If you have any queries, write to us at care@thesleepcompany.in or call us at 9811981911 Enjoy Peaceful Sleep",Utility
"Order Cancellation Update
Hi {{1}},
We’re sorry to inform you that your order {{2}} has been cancelled. If this wasn’t expected or if you need any assistance, please don’t hesitate to reach out to us for further details.
If you’d like help placing a new order or have any questions, our team is here for you. Feel free to contact us at care@thesleepcompany.in or visit our website.
We hope to have the opportunity to serve you again soon.
Thank you for choosing",Utility
"Order on Hold
Hey {{1}},
Your The Sleep Company Order as requested by you is On-Hold.
Order ID: {{2}}
Track Here https:thesleepcompany.inpagesorderlisting",Utility
"Order On-Hold!
Hey {{1}},
As per your request your order is put On-Hold. We will send you the updated Delivery date when it is released.
Order ID: {{2}}
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.
CTA: Track Here https:thesleepcompany.inpagesorderlisting",Marketing
"Order on Hold
Hey {{1}},
Your The Sleep Company Order as requested by you is On-Hold.
Order ID : {{2}}",Utility
"Order Placed!
Hey {{1}},
Your Sleep Company Order has successfully been placed!
Order ID: {{2}}
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.
CTA: TRACK HERE https:thesleepcompany.inpagesorderlisting",Marketing
"Order Placed!
Hey {{1}},
Your The Sleep Company Order has successfully been placed and is On-Hold
Order ID: {{2}}
Hold Reason: {{3}}
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.
CTA: Track Here https:thesleepcompany.inpagesorderlisting",Marketing
"Order Placed!
Hi {{1}}, Your order {{2}} has been successfully placed! 🎉
It’s currently on hold, rest assured our team is working quickly to finalize everything for you.
We’ll keep you updated with your order status.
The countdown to better comfort begins! 🤗
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.",Utility
"Hey, {{1}}
We know, you’ve been waiting for this 👇🏻
COMFORT IS COMING HOME 💙
The Sleep Company Product with {{2}} is on the way 🤩
Can't keep calm? Track your order 👇🏻
{{3}}
If you have any queries, please call us at 9811981911 or
write to us at care@thesleepcomapny.in
Enjoy Peaceful Sleep",Utility
"Hi, Your Sleepcompany order {{1}} has been picked up and is on its way to you! You can track it here {{2}}",Utility
"Hi {{1}},
Great news! 🎊
Your order {{2}} is now being processed! Your estimated delivery date is between {{3}} and {{4}}.
We’ll share the tracking link with you once your order is shipped. In the meantime, click here for more details: {{5}}.
The countdown to better comfort begins now! 🤗
If you have any questions, feel free to reach out at care@thesleepcompany.in.
Experience the Revolutionary Comfort with The Sleep Company! 🛏️",Utility
"Arrived Early!
Items in you order has arrived early! We hope you love it.
Order ID: {{1}}
Items : {{2}}",Utility
"Arriving Today!
Your order is out for delivery today.
Please keep your phone handy and ensure someone is available to receive it.
Our delivery partner may get in touch with you to ensure a smooth delivery experience.
Order ID: {{1}}
Items: {{2}} and {{3}} items
Courier Partner: {{4}}",Utility
"Cancellation Requested
We have received your cancellation request. Our sleep expert will get in touch with you to confirm and guide you through the next steps. Order ID: {{1}}",Utility
"Order Cancelled
Order is cancelled.The refund will be processed in 5-7 working days. Order ID: {{1}}
If you have any queries, write to us at care@thesleepcompany.in",Utility
"Order Cancelled
Order ID: {{1}} has been cancelled.
For order-related assistance, email: care@thesleepcompany.in",Utility
"Dear Customer,
Thank you for shopping with us.
We hope you're having a comfortable experience with your recent purchase.",Marketing
"Dear Customer, Thank you for shopping with us - we hope you have the best comfort experience with our scientifically crafted product!",Marketing
"Dear customer,
Your Order {{1}} was handed to you at The Sleep Company Store.",Utility
"Order Confirmed
Order ID: {{1}} has been confirmed.
For order-related assistance, email: care@thesleepcompany.in",Utility
"An update has been logged in your Shopify order records for {{1}}.
Order entries: {{2}}
Total value logged: {{3}}
No action is required.",Utility
"Order Delayed
Due to unforeseeable circumstances, your order is delayed. We are working on priority to deliver your order as soon as we can.
Order ID: {{1}}
Estimated Delivery Date: {{2}}",Utility
"Delivery Successful!
Hey {{1}},
Your Order has been delivered !
Order ID: {{2}}
Items: {{3}} and {{4}} items
Courier Partner: {{5}}
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.
CTA: Dwonload Invoice https:thesleepcompany.inpagesorderlisting",Marketing
"Order Delivered!
Hey {{1}},
Your order is has been delivered with lightning speed by our Express Delivery Service.
Order ID: {{2}}
Items: {{3}} and {{4}} items
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.
CTA: Download Invoice https:thesleepcompany.inpagesorderlisting",Marketing
"Hey {{1}},
Your order has been delivered!
Order ID: {{2}}
Items: {{3}} and {{4}} items
Our Comfort Technicians will contact you to install your order in {{5}} hours.
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.
CTA: Download Invoice https:thesleepcompany.inpagesorderlisting",Marketing
"Hey {{1}},
Your order has been delivered!
Order ID: {{2}}
Items: {{3}} and {{4}} items
Courier Partner: {{5}}
Our Comfort Technicians will contact you to install your order in {{6}} hours.
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.
CTA: Download Invoice https:thesleepcompany.inpagesorderlisting",Marketing
"Order Delivered!
Hey {{1}},
The Sleep Company Order {{2}} has been Delivered 🤗
If you have any queries, write to us at care@thesleepcompany.in
Experience the Comfort Revolution",Utility
"Order Dispatched!
Hey {{1}},
Your Order {{2}} has been dispatched.
You can track your order using {{3}}
COMFORT IS COMING HOME 💙
If you have any queries, write to us at care@thesleepcompany.in
Experience the Comfort Revolution",Utility
"Order Edited
Hey {{1}},
Your The Sleep Company Order has successfully been edited as per your request.
Order ID: {{2}}
Revised Delivery Date: {{3}}
Track Here https:thesleepcompany.inpagesorderlisting",Utility
"Order Edited
Hey {{1}},
Your The Sleep Company Order has successfully been edited as per your request.
Order ID: {{2}}
Revised Delivery Date: {{3}}",Utility
"Dear Customer, Your Order {{1}} is being edited. Please go through the following document and confirm the details to place your order {{2}}
Please note: This order cannot be edited further.",Utility
"Hey {{1}},
We know, you’ve been waiting for this 👇🏻
🥳 Here it Comes! 💙 COMFORT IS COMING HOME Your SmartGRID Product is on the way 🤩
Can't keep calm? Track your order 👇🏻
{{2}}",Utility
"Hi {{1}},
Your order has just arrived at your doorstep! 📦
We hope it brightens your day as much as it did ours delivering it to you!
Please find the invoice details below:
{{2}}
Thank you for choosing The Sleep Company!
Need anything else? Just hit us up! 😄",Utility
"Hi {{1}},
Your order has just arrived at your doorstep! 📦
We hope it brightens your day as much as it did ours delivering it to you!
Please find the invoice details below:
{{2}}
Thank you for choosing The Sleep Company!",Utility
Comfort is Coming Home! Your SmartGRID Product with order {{1}} has been shipped Get ready to meet the future of comfort.,Utility
"Order in Transit!
Hey {{1}},
We know, you’ve been waiting for this 👇
Your order is in Transit 🤗
COMFORT IS COMING HOME 💙
The Sleep Company Product with {{2}} is on the way 🤩
Can't keep calm? Track your order 👇
{{3}}
If you have any queries, write to us at
care@thesleepcompany.in or
call us at 9811981911
Experience the Comfort Revolution",Utility
"Your order is being processed!
Hey {{1}},
Your The Sleep Company Order is now being processed.
Order ID: {{2}}
Estimated Delivery Date: {{3}}
TRACK HERE https:thesleepcompany.inpagesorderlisting",Utility
"Your order is being processed!
Hey {{1}},
Your The Sleep Company Order is now being processed.
Order ID: {{2}}
Estimated Delivery Date: {{3}}",Utility
"Out for Delivery
Hey {{1}},
Exciting news! Your order is out for delivery, our courier partner will deliver your package today and may contact you for a smooth delivery process.
Order ID: {{2}}
Items: {{3}}
Courier Partner: {{4}}
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.",Utility
"Out for Delivery
Hey {{1}},
Exciting news! Your order is out for delivery. Our Express Delivery team will deliver your package today and may contact you for a smooth delivery process.
Order ID: {{2}}
Items: {{3}}
Courier Partner: Express Delivery by The Sleep Company
Please Note: After delivery, our Comfort Technicians will get in touch with you to install your order within {{4}} hours.
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort",Utility
"Out for Delivery
Hey {{1}},
Exciting news! Your order is out for delivery. Our courier partner will deliver your package today and may contact you for a smooth delivery process.
Order ID: {{2}}
Items: {{3}}
Courier Partner: {{4}}
Please Note: After delivery, our Comfort Technicians will get in touch with you to install your order within {{5}} hours.
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort",Utility
"Order on Hold!
Items in your order is currently on hold. We'll notify you with the new Delivery Date as soon as it resumes processing.
Order ID: {{1}}
Items: {{2}}
If you have any queries, write to us at care@thesleepcompany.in
TRACK HERE :- https:thesleepcompany.inpagesorderlisting",Utility
"Order on Hold
Items in your order are currently on hold. We'll notify you with the new Delivery date as soon as it resumes processing.
Order ID: {{1}}
Items: {{2}}
If you have any queries, write to us at care@thesleepcompany.in",Utility
"Dear {{1}}, Your {{2}} shipment is dispatched via {{3}} AWB#{{4}} to your address with Pincode {{5}}, will be delivered by{{6}}.
Thank you for shopping with The Sleep Company!",Utility
"Order Placed !
Dear Customer,
Your The Sleep Company Order has successfully been placed!
Order ID: {{1}}",Utility
"Order Placed!
Hi {{1}}, your order {{2}} has successfully been placed!
We will share the tracking link with you when your order is shipped. Click here for more details:{{3}}
The countdown to better comfort begins! 🤗
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort",Utility
"Order Placed!
Hi {{1}}, Your order {{2}} has successfully been placed!
The estimated delivery date is {{3}} - {{4}}.
We will share the tracking link with you when your order is shipped. Click here for more details:{{5}}
The countdown to better comfort begins! 🤗
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.",Utility
"Order Placed!
Hey {{1}},
Your The Sleep Company Order has successfully been placed!
Order ID: {{2}}
Estimated Delivery Date: {{3}} - {{4}}
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.
CTA: TRACK HERE https:thesleepcompany.inpagesorderlisting",Marketing
"Hi {{1}}, Your order {{2}} has successfully been placed!
Your order is currently On-Hold please contact our team at +91-9811981911 for more details. We will inform you the Delivery Dates when your order is processed. Click here to Track your order: https:thesleepcompany.inaccount#view=orders
The countdown to better comfort begins!",Utility
"Dear Customer,
Your order with The Sleep Company has been successfully placed.
Order ID: {{1}}
Order Tracking Link: {{2}}
Please use the link above to track the status of your order.",Utility
"Hey {{1}},
Our team is processing your order. We will send an update once your order is shipped! You can also log in to our website and track your orders.
Order ID: {{2}}
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.
CTA: Track Here https:thesleepcompany.inpagesorderlisting",Marketing
"Order Placed
Hi {{1}}, your order with The Sleep Company has been successfully placed.
Order ID: {{2}}
For any questions, please contact us at care@thesleepcompany.in.",Utility
"Order Released!
Hey {{1}},
Your order is released and will be Shipped soon. Your updated delivery date is:
Order ID: {{2}}
Estimated Delivery Date: {{3}} - {{4}}
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.
CTA: Track Here https:thesleepcompany.inpagesorderlisting",Marketing
"Order Shipped!
Hey {{1}},
Your Order has been Shipped
Order ID: {{2}}
Items: {{3}} and {{4}} items
Courier Partner: {{5}}
Estimated Delivery Date: {{6}} - {{7}}
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort.
CTA: Track Here https:thesleepcompany.inpagesorderlisting",Marketing
"In-transit
Your order is shipped and is in transit with our courier partner. Sit back and relax we will update you when it is out for delivery Order ID: {{1}}
Estimated Delivery Date: {{2}}
Items: {{3}} and {{4}} items
Courier Partner: {{5}}",Utility
"Order Shipped! 💙
Hi {{1}}, Your order {{2}} has been shipped !
Click on the link to track your order: https:thesleepcompany.inaccount#view=orders
The countdown to better comfort begins! 🤗
If you have any queries, write to us at care@thesleepcompany.in
Experience the Revolutionary Comfort",Utility
"Order Shipped !
Great news! Your order has been shipped. We will update you when it is out for delivery.
Order ID: {{1}}
Estimated Delivery Date: {{2}}
Item: {{3}}",Utility
"Order under production
Your order is under production. We're crafting it with care to ensure it reaches you just right!
Order ID: {{1}}
Estimated Delivery Date: {{2}}
Items: {{3}} order is under production. We're crafting it with care to ensure it reaches you just right!
Order ID: {{4}}
Estimated Delivery Date: {{5}}
Items: {{6}}
Click the button below to track your order",Utility
"Order being processed!
Items in your order are now being processed. We'll update you as soon as they are shipped.
Order ID: {{1}}
Estimated Delivery Date: {{2}} - {{3}}
If you have any queries, write to us at care@thesleepcompany.in
TRACK HERE :- https:thesleepcompany.inpagesorderlisting",Utility
"Order Being Processed!
Items in your order are now being processed. We'll update you as soon as they are shipped.
Order ID: {{1}}
Estimated Delivery Date: {{2}}
If you have any queries, write to us at care@thesleepcompany.in",Utility
"Order Being Processed!
Items in your order are now being processed. We'll update you as soon as they are shipped.
Order ID: {{1}} Items: {{2}}
Estimated Delivery Date: {{3}}
If you have any queries, write to us at care@thesleepcompany.in",Utility
"Hi {{1}},
Your order was delivered
Order id: {{2}}
Delivery Date: {{3}}
You can track your order via the link provided below",Utility
"Thank you for your order!
Track your order status {{1}} here: 🔗 {{2}}
For any questions, contact our support team.",Utility
"Replacement Completed
Replacement Order delivered and your previous item picked up.Thank you for your cooperation!
Old Order ID: {{1}}
New Order ID: {{2}}
If you have any refund it will be processed in 7 working days. Track Here: {{3}}",Utility
"Replacement Completed
Replacement Order delivered and your previous item picked up.Thank you for your cooperation!
Old Order ID: {{1}}
New Order ID: {{2}}
If you have any refund it will be processed in 7 working days.",Utility
"Return Picked Up
We have picked up your return item. Refund will be processed in 5-7 working days. Order ID: {{1}}
Item: {{2}}
Track Here: {{3}}",Utility
"Return Picked Up
We have picked up your return item. Refund will be processed in 5-7 working days. Order ID: {{1}}
Item: {{2}}",Utility
"Refund Processed
Your refund of {{1}} has been successfully processed. It should reflect in your account soon.
Order ID: {{2}}
Refund Amount: {{3}}
Transaction ID: {{4}}
Track Here: {{5}}",Utility
"Refund Processed
Your refund of {{1}} has been successfully processed. It should reflect in your account soon.
Order ID: {{2}}
Refund Amount: {{3}}
Transaction ID: {{4}}",Utility
"Order Edited
Your order has been edited.
Old Order ID: {{1}}
New Order ID: {{2}}
Estimated Delivery Date: {{3}}
Track Here: {{4}}",Utility
"Order Edited
Your order has been edited.
Old Order ID: {{1}}
New Order ID: {{2}}
Estimated Delivery Date: {{3}}",Utility
"Order Un-Hold
Order which was on Hold is now being processed. Order ID: {{1}}
New Estimated Delivery Date: {{2}}
If you have any queries, write to us at care@thesleepcompany.in
Track Here: {{3}}",Utility
"Order Un-Hold
Order which was on Hold is now being processed. Order ID: {{1}}
New Estimated Delivery Date: {{2}}
If you have any queries, write to us at care@thesleepcompany.in",Utility
"Dear Customer,
Your Order {{1}} was handed to you at The Sleep Company Store.",Utility
